,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
0,0.03466095303655736,031,Wholebrain,465,MD,Cognition,all
1,0.11467736697957875,031,Wholebrain,465,FA,Cognition,all
2,0.18052097965525873,031,Wholebrain,465,NOS,Cognition,all
3,0.0657498325330592,038,Wholebrain,703,MD,Cognition,all
4,0.08682450429530048,038,Wholebrain,703,FA,Cognition,all
5,0.16515680792308074,038,Wholebrain,703,NOS,Cognition,all
6,0.011014482682099784,048,Wholebrain,1128,MD,Cognition,all
7,0.06357221637342057,048,Wholebrain,1128,FA,Cognition,all
8,0.07062396916958821,048,Wholebrain,1128,NOS,Cognition,all
9,0.13394101885752716,056_C,Wholebrain,1540,MD,Cognition,all
10,0.17172934733761572,056_C,Wholebrain,1540,FA,Cognition,all
11,0.1854988156931144,056_C,Wholebrain,1540,NOS,Cognition,all
12,-0.008077252895678576,056_M,Wholebrain,1540,MD,Cognition,all
13,0.07073657000590428,056_M,Wholebrain,1540,FA,Cognition,all
14,0.16837995822545754,056_M,Wholebrain,1540,NOS,Cognition,all
15,0.10869283623147939,070,Wholebrain,2415,MD,Cognition,all
16,0.14035318604994143,070,Wholebrain,2415,FA,Cognition,all
17,0.12492796765777946,070,Wholebrain,2415,NOS,Cognition,all
18,0.03368862878955702,079,Wholebrain,3081,MD,Cognition,all
19,0.062420381064389616,079,Wholebrain,3081,FA,Cognition,all
20,0.20725312464174744,079,Wholebrain,3081,NOS,Cognition,all
21,0.19702025826705163,086,Wholebrain,3655,MD,Cognition,all
22,0.197247801948554,086,Wholebrain,3655,FA,Cognition,all
23,0.14960962844829429,086,Wholebrain,3655,NOS,Cognition,all
24,0.06723584133612429,092,Wholebrain,4186,MD,Cognition,all
25,0.10261866511258493,092,Wholebrain,4186,FA,Cognition,all
26,0.18658568939681594,092,Wholebrain,4186,NOS,Cognition,all
27,0.06039048845516841,096,Wholebrain,4560,MD,Cognition,all
28,0.10988624740708271,096,Wholebrain,4560,FA,Cognition,all
29,0.14869788061721592,096,Wholebrain,4560,NOS,Cognition,all
30,0.12337303025059457,100,Wholebrain,4950,MD,Cognition,all
31,0.1610543099777594,100,Wholebrain,4950,FA,Cognition,all
32,0.21041792204012105,100,Wholebrain,4950,NOS,Cognition,all
33,0.08522503152894234,103,Wholebrain,5253,MD,Cognition,all
34,0.16829421887946702,103,Wholebrain,5253,FA,Cognition,all
35,0.24470179768169942,103,Wholebrain,5253,NOS,Cognition,all
36,0.08890550472406103,108,Wholebrain,5778,MD,Cognition,all
37,0.1208919501054217,108,Wholebrain,5778,FA,Cognition,all
38,0.20611628531500054,108,Wholebrain,5778,NOS,Cognition,all
39,0.12136042209415955,150,Wholebrain,11175,MD,Cognition,all
40,0.15897184734561873,150,Wholebrain,11175,FA,Cognition,all
41,0.21974613516854022,150,Wholebrain,11175,NOS,Cognition,all
42,0.1553044769826111,156,Wholebrain,12090,MD,Cognition,all
43,0.18252482540855755,156,Wholebrain,12090,FA,Cognition,all
44,0.18850652138043728,156,Wholebrain,12090,NOS,Cognition,all
45,0.17030614512458764,160,Wholebrain,12720,MD,Cognition,all
46,0.19864573416453354,160,Wholebrain,12720,FA,Cognition,all
47,0.1929157293600716,160,Wholebrain,12720,NOS,Cognition,all
48,0.14723044512377254,167,Wholebrain,13861,MD,Cognition,all
49,0.20981319528489617,167,Wholebrain,13861,FA,Cognition,all
50,0.197264923728695,167,Wholebrain,13861,NOS,Cognition,all
51,0.2490387315882348,200,Wholebrain,19900,MD,Cognition,all
52,0.25917077326428534,200,Wholebrain,19900,FA,Cognition,all
53,0.22522294065501483,200,Wholebrain,19900,NOS,Cognition,all
54,0.21235403504015551,210,Wholebrain,21945,MD,Cognition,all
55,0.23164183878657152,210,Wholebrain,21945,FA,Cognition,all
56,0.2428473555492778,210,Wholebrain,21945,NOS,Cognition,all
57,-0.054373739470643695,031,PCA,1,MD,Cognition,all
58,-0.08133111532726785,031,PCA,2,MD,Cognition,all
59,-0.09956949626496613,031,PCA,3,MD,Cognition,all
60,-0.08954513438659857,031,PCA,4,MD,Cognition,all
61,-0.06427738443547795,031,PCA,5,MD,Cognition,all
62,-0.10747301691944605,031,PCA,10,MD,Cognition,all
63,-0.10318463106401929,031,PCA,15,MD,Cognition,all
64,-0.08996501154618458,031,PCA,20,MD,Cognition,all
65,-0.09611952270528049,031,PCA,30,MD,Cognition,all
66,-0.04188861195693696,031,PCA,40,MD,Cognition,all
67,0.02877369226005895,031,PCA,50,MD,Cognition,all
